Date,ABCB4,BBAS3,BBDC4,BPAN4,BTOW3,CGAS3,CMIG4,CSNA3,CYRE3,ELET3,ELPL4,ENBR3,EQTL3,EZTC3,FIBR3,GOAU4,HGTX3,ITUB4,LAME4,LREN3,MRVE3,MYPK3,PETR4,POMO4,QGEP3,RAPT4,SAPR4,SBSP3,SUZB5,TUPY3,USIM5,VALE5,WEGE3
6/27/2012,5.405146,13.38821,15.410726,NA,5.22952,21.084112,17.612764,8.667247,13.056757,12.213875,20.895164,9.820417,13.661954,14.167137,12.250494,19.504288,29.09886,16.30052,7.779818,6.569999,7.008862,20.303976,16.289639,3.664853,6.935286,6.474881,5.344584,21.458021,3.708703,18.852964,6.076577,30.930159,6.213249
6/28/2012,5.491396,13.359734,15.177894,NA,5.13696,21.361578,18.038317,8.534506,13.212086,12.336716,21.347736,9.820417,13.919154,14.062414,12.295138,19.371279,29.219603,16.146441,7.978482,6.412539,7.13097,20.447126,16.345045,3.652113,6.700985,6.503696,5.310756,21.449696,3.480896,18.852964,6.007074,30.524021,6.036644
6/29/2012,5.491396,13.908074,15.493551,NA,5.41463,21.361578,17.942677,8.88588,13.522742,12.503428,21.638067,9.904897,13.781371,14.404701,13.28625,21.03385,30.668512,16.762732,8.491156,6.722755,7.570549,20.939329,16.852942,3.843218,6.869681,6.482082,5.310756,21.36927,3.617581,18.852964,6.275158,31.184988,6.258198
7/2/2012,5.589149,13.99353,15.529751,NA,5.53496,21.533653,18.239132,9.018621,13.62325,12.520977,21.78323,10.074012,13.542537,14.523406,13.571977,21.005346,30.86974,16.829058,8.651366,6.6929,7.79848,20.82295,16.954521,3.851709,7.235189,6.410058,5.175451,21.36927,3.53557,18.852964,6.205655,31.161102,6.165087
7/3/2012,5.655035,14.207173,15.927597,NA,6.10881,21.616888,18.167345,9.424654,14.070962,12.801755,19.605759,9.820417,13.781371,14.670156,13.661265,21.195351,31.690783,17.167053,8.747494,6.861141,8.181077,21.261421,17.536293,3.987596,7.488234,6.323632,5.202512,21.396994,3.590244,18.715019,6.721965,31.742432,6.165087
7/4/2012,5.788166,14.207173,15.943154,NA,6.38649,21.911013,18.141724,9.713562,13.933908,12.880725,19.656996,9.858837,13.698684,14.635196,14.063067,20.967346,31.489552,17.267939,8.779532,6.896901,8.172935,21.753622,17.499355,4.034315,7.450746,6.251608,5.087501,21.438623,3.73604,18.944931,6.940404,31.861883,6.100862
7/5/2012,5.73028,14.171562,15.958697,NA,6.53458,21.905457,18.167345,9.588628,14.043551,12.819304,19.272736,9.758927,14.011069,14.677148,13.795198,21.461369,30.620205,17.463543,8.657778,6.812189,8.050831,21.699896,18.099598,3.991846,7.863114,6.193989,5.141624,21.391415,3.73604,18.852964,6.811327,32.252094,6.010957
7/6/2012,5.655035,13.843987,15.901702,NA,6.12733,21.639101,18.167345,9.291913,13.614113,12.371813,18.572531,9.666734,13.965112,14.523406,13.545189,20.948343,30.266026,17.344944,8.446301,6.716783,8.197358,20.447126,17.730219,3.983355,7.825626,6.121965,5.175451,21.530205,3.672255,19.542707,6.533313,31.758356,5.998117
7/10/2012,5.498753,13.445184,15.590966,NA,5.50719,21.916565,18.057447,8.581354,13.038484,12.108582,17.718622,9.758927,13.854831,14.383728,13.170175,20.444824,29.461086,16.568176,8.279675,6.549736,8.295043,20.250248,16.982224,3.940887,7.806882,6.085958,5.175451,21.069546,3.599355,19.312794,6.126222,31.041645,6.004536
7/11/2012,5.550847,13.217303,15.565065,NA,5.39612,21.378235,17.928347,8.37053,12.782647,11.915547,17.590534,9.643664,13.854831,14.383728,13.170175,20.444824,29.461086,16.639362,8.234824,6.454291,8.115954,19.525471,17.120743,3.872939,7.909974,5.927508,5.175451,21.000109,3.644917,19.312794,6.056719,30.866444,6.13297
