Date,PETR3.SA,PETR4.SA
2010-01-04 00:00:00-02:00,17.247703552246094,13.817431449890137
2010-01-05 00:00:00-02:00,17.144174575805664,13.698956489562988
2010-01-06 00:00:00-02:00,17.313966751098633,13.884078979492188
2010-01-07 00:00:00-02:00,17.210433959960938,13.754491806030273
2010-01-08 00:00:00-02:00,17.08206558227539,13.68044376373291
2010-01-11 00:00:00-02:00,17.098628997802734,13.636018753051758
2010-01-12 00:00:00-02:00,16.883289337158203,13.462002754211426
2010-01-13 00:00:00-02:00,16.730070114135742,13.439785957336426
2010-01-14 00:00:00-02:00,16.460895538330078,13.206534385681152
2010-01-15 00:00:00-02:00,16.560283660888672,13.236152648925781
2010-01-18 00:00:00-02:00,16.93712043762207,13.532349586486816
2010-01-19 00:00:00-02:00,16.84187889099121,13.469408988952637
2010-01-20 00:00:00-02:00,16.378070831298828,13.125082015991211
2010-01-21 00:00:00-02:00,15.918413162231445,12.710409164428711
2010-01-22 00:00:00-02:00,15.955681800842285,12.865914344787598
2010-01-26 00:00:00-02:00,15.669939994812012,12.551207542419434
2010-01-27 00:00:00-02:00,15.736204147338867,12.628959655761719
2010-01-28 00:00:00-02:00,16.06749153137207,12.814079284667969
2010-01-29 00:00:00-02:00,15.827305793762207,12.651172637939453
2010-02-01 00:00:00-02:00,15.868714332580566,12.699307441711426
2010-02-02 00:00:00-02:00,15.86043643951416,12.625255584716797
2010-02-03 00:00:00-02:00,15.856293678283691,12.603038787841797
2010-02-04 00:00:00-02:00,15.094331741333008,11.958821296691895
2010-02-05 00:00:00-02:00,14.825156211853027,11.67003059387207
2010-02-08 00:00:00-02:00,14.965951919555664,11.751481056213379
2010-02-09 00:00:00-02:00,15.222707748413086,11.936605453491211
2010-02-10 00:00:00-02:00,15.438040733337402,12.084701538085938
2010-02-11 00:00:00-02:00,15.65751838684082,12.351273536682129
2010-02-12 00:00:00-02:00,15.839731216430664,12.514180183410645
2010-02-17 00:00:00-02:00,15.897704124450684,12.680792808532715
2010-02-18 00:00:00-02:00,16.026079177856445,12.843697547912598
2010-02-19 00:00:00-02:00,15.984667778015137,12.717817306518555
2010-02-22 00:00:00-03:00,16.10062026977539,12.828886985778809
2010-02-23 00:00:00-03:00,15.798316955566406,12.658575057983398
2010-02-24 00:00:00-03:00,15.79417610168457,12.566010475158691
2010-02-25 00:00:00-03:00,15.868714332580566,12.728922843933105
2010-02-26 00:00:00-03:00,16.026079177856445,12.814079284667969
2010-03-01 00:00:00-03:00,16.1710147857666,12.9325532913208
2010-03-02 00:00:00-03:00,16.266263961791992,13.002900123596191
2010-03-03 00:00:00-03:00,16.320096969604492,13.014008522033691
2010-03-04 00:00:00-03:00,16.228994369506836,13.032520294189453
2010-03-05 00:00:00-03:00,16.560283660888672,13.258374214172363
2010-03-08 00:00:00-03:00,16.552001953125,13.217639923095703
2010-03-09 00:00:00-03:00,16.858440399169922,13.513833045959473
2010-03-10 00:00:00-03:00,17.102764129638672,13.698956489562988
2010-03-11 00:00:00-03:00,17.102764129638672,13.71746826171875
2010-03-12 00:00:00-03:00,17.18145179748535,13.721170425415039
2010-03-15 00:00:00-03:00,17.01166343688965,13.613801956176758
2010-03-16 00:00:00-03:00,17.20215606689453,13.776708602905273
2010-03-17 00:00:00-03:00,17.2062931060791,13.754491806030273
2010-03-18 00:00:00-03:00,17.144174575805664,13.70635986328125
2010-03-19 00:00:00-03:00,16.79218292236328,13.413869857788086
2010-03-22 00:00:00-03:00,16.79218292236328,13.417572975158691
2010-03-23 00:00:00-03:00,16.523008346557617,13.26207447052002
2010-03-24 00:00:00-03:00,16.688655853271484,13.36203670501709
2010-03-25 00:00:00-03:00,16.336666107177734,13.032520294189453
2010-03-26 00:00:00-03:00,16.25384521484375,12.773351669311523
2010-03-29 00:00:00-03:00,16.336666107177734,12.921449661254883
2010-03-30 00:00:00-03:00,16.27454376220703,12.884424209594727
2010-03-31 00:00:00-03:00,16.440187454223633,13.102864265441895
2010-04-01 00:00:00-03:00,16.626543045043945,13.236152648925781
2010-04-05 00:00:00-03:00,16.730070114135742,13.332414627075195
2010-04-06 00:00:00-03:00,16.808746337890625,13.358336448669434
2010-04-07 00:00:00-03:00,16.72592544555664,13.254670143127441
2010-04-08 00:00:00-03:00,16.754913330078125,13.258374214172363
2010-04-09 00:00:00-03:00,16.440187454223633,13.043625831604004
2010-04-12 00:00:00-03:00,15.959819793701172,12.732624053955078
2010-04-13 00:00:00-03:00,15.889422416687012,12.658575057983398
2010-04-14 00:00:00-03:00,16.005374908447266,12.680792808532715
2010-04-15 00:00:00-03:00,15.723780632019043,12.44013500213623
2010-04-16 00:00:00-03:00,15.351081848144531,12.199474334716797
2010-04-19 00:00:00-03:00,15.611966133117676,12.42162036895752
2010-04-20 00:00:00-03:00,15.963961601257324,12.699307441711426
2010-04-22 00:00:00-03:00,15.777610778808594,12.536398887634277
2010-04-23 00:00:00-03:00,15.894745826721191,12.637946128845215
2010-04-26 00:00:00-03:00,15.575018882751465,12.381471633911133
2010-04-27 00:00:00-03:00,15.085057258605957,11.931708335876465
2010-04-28 00:00:00-03:00,15.11412239074707,12.039505004882812
2010-04-29 00:00:00-03:00,15.400626182556152,12.273674964904785
2010-04-30 00:00:00-03:00,15.342493057250977,12.191896438598633
2010-05-03 00:00:00-03:00,14.881592750549316,11.708684921264648
2010-05-04 00:00:00-03:00,14.204782485961914,11.314680099487305
2010-05-05 00:00:00-03:00,14.159107208251953,11.229188919067383
2010-05-06 00:00:00-03:00,14.121740341186523,11.080506324768066
